hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
2, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
3, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
4, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
5, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
6, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
7, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
8, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
9, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
10, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
11, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
12, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
13, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
14, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
15, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
16, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
17, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
18, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
19, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
20, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
21, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
22, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
23, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
24, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
25, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
26, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
27, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
28, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
29, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
30, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
31, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
32, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
33, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
34, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
35, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
36, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
37, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
38, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
39, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
40, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
41, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
42, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
43, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
44, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
45, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
46, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
47, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
48, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
49, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
