Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.15CF_13, 2.083921E-005, -0.07109551, 2.083921E-005, -0.07109551, 0, 0
Line.15CF_1400, 7.282246E-006, -0.2147707, 7.282246E-006, -0.2147707, 0, 0
Line.15CF_1949, 2.575811E-006, -0.2143386, 2.575811E-006, -0.2143386, 0, 0
Line.15CF_430, 0.0002330512, -0.07096894, 0.0002330512, -0.07096894, 0, 0
Line.15FR_1153, 0.000154431, -0.07161561, 0.000154431, -0.07161561, 0, 0
Line.17CF_1137, -3.50222E-006, -0.0704594, -3.50222E-006, -0.0704594, 0, 0
Line.17CF_1138, 2.277596E-005, -0.07118326, 2.277596E-005, -0.07118326, 0, 0
Line.17CF_1139, 1.603863E-005, -0.2139536, 1.603863E-005, -0.2139536, 0, 0
Line.17CF_1141, 4.74398E-005, -0.0717767, 4.74398E-005, -0.0717767, 0, 0
Line.17CF_1147, -1.91472E-005, -0.2175379, -1.91472E-005, -0.2175379, 0, 0
Line.17CF_1195, 9.82519E-006, -0.07242572, 9.82519E-006, -0.07242572, 0, 0
Line.17CF_1268, 1.526422E-005, -0.2082021, 1.526422E-005, -0.2082021, 0, 0
Line.17CF_1304, 1.927784E-005, -0.2118145, 1.927784E-005, -0.2118145, 0, 0
Line.17CF_1360, -8.999291E-008, -0.07093363, -8.999291E-008, -0.07093363, 0, 0
Line.17CF_1367, -5.297749E-005, -0.2138688, -5.297749E-005, -0.2138688, 0, 0
Line.17CF_1431, 5.301129E-005, -0.2076385, 5.301129E-005, -0.2076385, 0, 0
Line.17CF_1499, 0.0002362915, -0.2191453, 0.0002362915, -0.2191453, 0, 0
Line.17CF_1533, 1.269761E-005, -0.2085627, 1.269761E-005, -0.2085627, 0, 0
Line.17CF_1690, 7.806869E-005, -0.2150727, 7.806869E-005, -0.2150727, 0, 0
Line.17CF_1726, 3.025556E-005, -0.06985508, 3.025556E-005, -0.06985508, 0, 0
Line.17CF_187, 0.0002039507, -0.2085638, 0.0002039507, -0.2085638, 0, 0
Line.17CF_188, 7.075303E-006, -0.137637, 7.075303E-006, -0.137637, 0, 0
Line.17CF_440, 2.688212E-005, -0.06884943, 2.688212E-005, -0.06884943, 0, 0
Line.17CF_603, 9.950931E-005, -0.07100619, 9.950931E-005, -0.07100619, 0, 0
Line.17CF_604, 0.0002832361, -0.2166834, 0.0002832361, -0.2166834, 0, 0
Line.17CS_1752, 39.58634, 39.36517, 39.58634, 39.36517, 0, 0
Line.17CS_1770, 37.82886, 37.61737, 37.82886, 37.61737, 0, 0
Line.17CS_621, 37.83311, 37.6231, 37.83311, 37.6231, 0, 0
Line.17DJ_18, 1.564387E-005, -0.2212674, 1.564387E-005, -0.2212674, 0, 0
Line.17RL_1738, 37.88985, 37.67792, 37.88985, 37.67792, 0, 0
Line.17RL_5213, 1.641675E-005, -0.2212531, 1.641675E-005, -0.2212531, 0, 0
Line.18CF_1004, 0.0002109226, -0.07209232, 0.0002109226, -0.07209232, 0, 0
