Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.13CF_1382, 4.158083E-006, -0.07101871, 4.158083E-006, -0.07101871, 0, 0
Line.13CF_1527, 1.614295E-005, -0.07105721, 1.614295E-005, -0.07105721, 0, 0
Line.13CF_1678, 2.017974E-005, -0.07044786, 2.017974E-005, -0.07044786, 0, 0
Line.13CF_1706, 4.555948E-006, -0.07048716, 4.555948E-006, -0.07048716, 0, 0
Line.13CF_1757, -1.287457E-005, -0.2126015, -1.287457E-005, -0.2126015, 0, 0
Line.13CF_1917, 6.43809E-006, -0.0710667, 6.43809E-006, -0.0710667, 0, 0
Line.13CF_364, 1.317616E-005, -0.07038363, 1.317616E-005, -0.07038363, 0, 0
Line.13CF_365, 2.482066E-005, -0.07038041, 2.482066E-005, -0.07038041, 0, 0
Line.13CS_1197, 7.280729E-006, -0.212585, 7.280729E-006, -0.212585, 0, 0
Line.13FR_367, 0.0001368982, -0.07025421, 0.0001368982, -0.07025421, 0, 0
Line.13FR_761, 0.0005466602, -0.07050117, 0.0005466602, -0.07050117, 0, 0
Line.19BP_370, 0.007804398, -0.2043921, 0.007804398, -0.2043921, 0, 0
Line.19CF_1034, 2.002974E-005, -0.07091804, 2.002974E-005, -0.07091804, 0, 0
Line.19CF_1067, -4.64545E-006, -0.0727198, -4.64545E-006, -0.0727198, 0, 0
Line.19CF_1069, 5.931636E-006, -0.07041264, 5.931636E-006, -0.07041264, 0, 0
Line.19CF_1070, 3.257856E-006, -0.07250741, 3.257856E-006, -0.07250741, 0, 0
Line.19CF_1084, 1.502339E-005, -0.07042582, 1.502339E-005, -0.07042582, 0, 0
Line.19CF_1098, -2.079271E-007, -0.07068186, -2.079271E-007, -0.07068186, 0, 0
Line.19CF_1123, 0.005313456, -0.207836, 0.005313456, -0.207836, 0, 0
Line.19CF_1208, 7.51991E-006, -0.07054711, 7.51991E-006, -0.07054711, 0, 0
Line.19CF_1275, 2.832163E-005, -0.2126474, 2.832163E-005, -0.2126474, 0, 0
Line.19CF_1312, 6.314609E-007, -0.07078778, 6.314609E-007, -0.07078778, 0, 0
Line.19CF_1335, 3.000619E-005, -0.07198773, 3.000619E-005, -0.07198773, 0, 0
Line.19CF_1353, 2.931566E-006, -0.07041122, 2.931566E-006, -0.07041122, 0, 0
Line.19CF_1394, 1.034942E-005, -0.07146181, 1.034942E-005, -0.07146181, 0, 0
Line.19CF_1413, 3.317497E-005, -0.2124535, 3.317497E-005, -0.2124535, 0, 0
Line.19CF_1522, 1.426181E-005, -0.2121377, 1.426181E-005, -0.2121377, 0, 0
Line.19CF_1650, 5.108748E-005, -0.2176575, 5.108748E-005, -0.2176575, 0, 0
Line.19CF_1703, 6.448875E-006, -0.07210791, 6.448875E-006, -0.07210791, 0, 0
Line.19CF_1704, -5.903537E-006, -0.07212832, -5.903537E-006, -0.07212832, 0, 0
Line.19CF_1825, 0.0006818666, -0.2124835, 0.0006818666, -0.2124835, 0, 0
Line.19CF_1847, -1.99937E-005, -0.2168123, -1.99937E-005, -0.2168123, 0, 0
Line.19CF_1848, 3.774088E-006, -0.07036626, 3.774088E-006, -0.07036626, 0, 0
Line.19CF_1907, 0.001529837, -0.213376, 0.001529837, -0.213376, 0, 0
Line.19CF_221, 1.806521E-005, -0.07100161, 1.806521E-005, -0.07100161, 0, 0
Line.19CF_251, 0.0001095652, -0.1427424, 0.0001095652, -0.1427424, 0, 0
Line.19CF_285, -5.929158E-006, -0.07213274, -5.929158E-006, -0.07213274, 0, 0
Line.19CF_286, 9.416714E-005, -0.2128782, 9.416714E-005, -0.2128782, 0, 0
Line.19CF_371, 5.060962E-005, -0.2121713, 5.060962E-005, -0.2121713, 0, 0
Line.19CF_800, 0.0002254851, -0.07009932, 0.0002254851, -0.07009932, 0, 0
Line.19CF_818, 8.679934E-005, -0.07195736, 8.679934E-005, -0.07195736, 0, 0
Line.19CF_855, 1.789026E-005, -0.07099631, 1.789026E-005, -0.07099631, 0, 0
Line.19CF_898, 5.887997E-005, -0.07110419, 5.887997E-005, -0.07110419, 0, 0
Line.19CF_934, -1.027051E-005, -0.07100296, -1.027051E-005, -0.07100296, 0, 0
Line.19CF_949, 2.194531E-006, -0.2123492, 2.194531E-006, -0.2123492, 0, 0
Line.19CF_970, 0.0003546981, -0.2126222, 0.0003546981, -0.2126222, 0, 0
Line.19CF_976, 1.782465E-005, -0.2121716, 1.782465E-005, -0.2121716, 0, 0
