
Power Delivery Element Overload Report

SYMMETRICAL COMPONENT CURRENTS BY CIRCUIT ELEMENT 

Element                             Term    I1    IOver %Normal  %Emerg     I2    %I2/I1    I0    %I0/I1

"Line.IT_32_1124_67495"   1     3.6 -210.93     2.3   169.0     1.6    45.5     0.3     8.7
"Line.IT_32_1435_15360"   1     2.7 -211.74     2.0   142.0     0.8    28.3     0.8    28.5
"Line.IT_32_1435_15421"   1     3.5 -211.30     2.2   156.7     0.6    18.7     0.6    18.7
"Line.IT_32_1435_15422"   1     5.3 -210.29     2.6   190.4     0.4     6.6     0.4     7.0
"Line.IT_32_1435_15424"   1     4.7 -210.88     2.4   170.5     0.4     7.4     0.4     7.9
"Line.IT_32_1435_15426"   1     3.7 -211.44     2.1   152.0     0.6    16.5     0.6    17.0
"Line.IT_32_1435_15427"   1     2.8 -212.11     1.8   129.7     0.5    18.6     0.5    18.6
"Line.IT_32_1435_53429"   1     3.9 -211.37     2.1   154.2     0.7    17.7     0.7    18.1
"Line.IT_32_1716_15686"   1     2.4 -212.46     1.6   118.0     0.6    22.8     0.6    22.6
"Line.IT_32_1716_15688"   1     2.4 -212.62     1.6   112.5     0.5    21.0     0.5    20.8
"Line.IT_32_529_12812"    1     3.1 -212.06     1.8   131.2     0.3     9.6     0.7    21.8
"Line.IT_32_529_12814"    1     2.9 -212.13     1.8   128.9     0.3    10.5     0.7    25.4
"Line.IT_32_529_12815"    1     2.9 -212.13     1.8   128.9     0.3    10.5     0.7    25.4
"Line.IT_32_529_38122"    1     2.9 -212.06     1.8   131.2     0.3    10.3     0.7    24.8
"Line.IT_32_5676_59560"   1     9.1 -153.83     5.6   114.6     0.0     0.3     0.0     0.0
"Line.IT_32_5676_59561"   1     9.1 -153.83     5.6   114.6     0.0     0.3     0.0     0.0
"Line.IT_32_5676_59562"   1     9.1 -153.83     5.6   114.6     0.0     0.3     0.0     0.0
"Line.IT_32_5744_13823"   1     4.2 -211.75     2.0   141.6     0.0     0.0     0.0     0.0
"Line.IT_32_7485_40020"   1     1.7 -212.38     1.7   120.7     1.1    63.1     1.1    62.9
"Line.IT_32_961_13825"    1    21.2 -139.91    14.2   288.6     1.0     4.6     1.0     4.7
"Line.IT_39_1147_32208"   1     9.0 -154.04     5.5   112.0     0.0     0.0     0.0     0.0
"Line.IT_39_1147_32209"   1     9.0 -154.04     5.5   112.0     0.0     0.0     0.0     0.0
"Line.IT_39_2645_34192"   1     2.3 -211.97     1.9   134.3     2.3   100.0     0.0     0.0
"Line.IT_39_2645_34194"   1     2.3 -211.97     1.9   134.3     2.3   100.0     0.0     0.0
"Line.IT_39_2681_34196"   1    11.5 -277.61     4.6   148.8     2.7    23.2     0.5     4.0
"Line.IT_39_2681_34198"   1     7.4 -281.55     3.2   105.0     2.6    35.5     0.4     6.0
"Line.IT_39_2681_34202"   1     7.1 -281.83     3.1   101.8     2.6    36.9     0.4     6.3
"Line.IT_39_2681_34203"   1     5.8 -281.83     3.1   101.8     3.0    52.1     1.0    17.8
"Line.IT_39_2767_45879"   1    27.9 -187.36    13.3   954.5     1.1     4.0     0.1     0.2
