"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 1384.63090293933, -15.4987408528726, 1384.63090293933, 1384.71764209986, 17.3674617094143, 34.2892891808683, 17.3674617094143
2, 1032.65402070255, -226.296227075756, 1384.63090293933, 1384.71764209986, 12.4698990039543, 24.4539646862219, 17.3674617094143
3, 891.690230756864, -309.813066327255, 1384.63090293933, 1384.71764209986, 11.1433398526035, 21.7934646010586, 17.3674617094143
4, 821.307646205258, -351.330829668552, 1384.63090293933, 1384.71764209986, 10.6157846478927, 20.7366467804166, 17.3674617094143
5, 1102.85098058401, -184.497093222215, 1384.63090293933, 1384.71764209986, 13.2658256633449, 26.0508701828072, 17.3674617094143
6, 1737.85372563955, 192.723312865642, 1737.85372563955, 1748.50731969905, 24.612272961767, 48.849652120625, 24.612272961767
7, 1455.73012620299, 345.965278164928, 1737.85372563955, 1748.50731969905, 18.8617430618874, 36.3723696265379, 24.612272961767
8, 435.560053839535, 103.560666814972, 1737.85372563955, 1748.50731969905, 12.557624429553, 23.6888808737115, 24.612272961767
9, 22.2921744421638, 222.200934053017, 1737.85372563955, 1748.50731969905, 22.2913974877655, 43.1346510568282, 24.612272961767
10, -1098.46307976999, 345.926449920107, 1737.85372563955, 1748.50731969905, 69.5440412701284, 139.426911607518, 69.5440412701284
11, -2549.60169198551, 730.83313468103, 1737.85372563955, 2652.27937037618, 201.243052142441, 408.221320728428, 201.243052142441
12, -3051.27079952895, 878.360076459881, 1737.85372563955, 3175.18029660941, 262.862674516351, 534.224750186209, 262.862674516351
13, -3445.35322990902, 1089.03313105235, 1737.85372563955, 3613.37128446194, 327.533846373731, 666.199690342883, 327.533846373731
14, -3681.75343462515, 995.156907054385, 1737.85372563955, 3813.87540738186, 344.418138640599, 701.491955366071, 344.418138640599
15, -3695.60468703364, 947.234790941031, 1737.85372563955, 3815.06851209701, 340.172063217566, 692.989881833413, 344.418138640599
16, -3223.11399341602, 818.135135104068, 1737.85372563955, 3815.06851209701, 275.2686565133, 560.103724671733, 344.418138640599
17, -2013.6718621285, 634.684211467099, 1737.85372563955, 3815.06851209701, 149.669554686582, 302.724567630357, 344.418138640599
18, 159.047593274424, 665.892460983343, 1737.85372563955, 3815.06851209701, 37.9371741118303, 73.4876770737771, 344.418138640599
19, 2469.01063639508, 941.841443636444, 2469.01063639508, 3815.06851209701, 46.9450585549916, 92.3180579070519, 344.418138640599
20, 3276.36021487329, 1104.64158238656, 3276.36021487329, 3815.06851209701, 79.1999862608621, 158.711556600572, 344.418138640599
21, 3613.4209007316, 1313.65879854204, 3613.4209007316, 3844.80299167992, 95.9039428271217, 192.355490170335, 344.418138640599
22, 2660.22467483756, 728.537763602554, 3613.4209007316, 3844.80299167992, 51.9177042402954, 103.709373091362, 344.418138640599
23, 1819.95717213204, 235.443294391495, 3613.4209007316, 3844.80299167992, 26.1014920055379, 51.8079956289316, 344.418138640599
24, 10.2367676406844, -780.335329204912, 3613.4209007316, 3844.80299167992, 10.2367618191027, 20.0283788475445, 344.418138640599
