hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 978.754, 282.334, 645.828, 132.025, 796.204, 167.978
2, 0.00000, 904.842, 235.919, 597.265, 99.6739, 736, 132.02
3, 0.00000, 879.063, 223.257, 581.362, 89.0849, 715.149, 122.987
4, 0.00000, 842.676, 200.657, 557.334, 73.185, 685.462, 105.387
5, 0.00000, 838.354, 197.98, 554.481, 71.2996, 681.933, 103.298
6, 0.00000, 870.182, 217.731, 575.493, 85.1974, 707.91, 118.69
7, 0.00000, 948.255, 266.533, 627.008, 119.428, 771.655, 156.641
8, 0.00000, 1084.45, 345.594, 715.57, 175.206, 881.564, 218.957
9, 0.00000, 1205.67, 423.699, 795.421, 229.279, 980.643, 279.085
10, 0.00000, 1281.82, 465.86, 844.322, 258.941, 1042.93, 310.02
11, 0.00000, 1368.44, 522.932, 901.302, 298.061, 1113.86, 353.7
12, 0.00000, 1445.49, 569.833, 951.806, 329.123, 1176.81, 388.74
13, 0.00000, 1439.65, 565.931, 947.99, 326.48, 1172.04, 385.776
14, 0.00000, 1432.41, 561.101, 943.229, 323.185, 1166.11, 382.095
15, 0.00000, 1446.45, 570.469, 952.553, 329.639, 1177.65, 389.265
16, 0.00000, 1459.79, 579.389, 961.315, 335.712, 1188.58, 396.057
17, 0.00000, 1461.33, 580.425, 962.272, 336.377, 1189.82, 396.826
18, 0.00000, 1400.13, 539.67, 921.363, 311.464, 1140.08, 365.982
19, 0.00000, 1367.66, 518.194, 900.462, 297.066, 1113.89, 349.802
20, 0.00000, 1334.44, 496.285, 878.488, 281.999, 1085.1, 335.411
21, 0.00000, 1279, 463.301, 843.42, 257.946, 1041.22, 308.499
22, 0.00000, 1279.05, 463.339, 843.391, 257.929, 1041.22, 308.502
23, 0.00000, 1207.56, 420.268, 797.003, 229.698, 984.377, 273.812
24, 0.00000, 1096.78, 356.426, 725.335, 184.843, 893.962, 226.122
