,Status,Max pu. Voltage,Min pu. Voltage,Good Voltage?,Total P kW,Total Q kvar,P Losses %,Num. Isolated Branches,PA Circuit %,PB Circuit %,PC Circuit %,Lines MV (km),Lines LV (km),Num. Tran,Num. Loads,Max name of One Load,Max kW of One Load,Loading max % transformers
1_ALPE_1,Solved,1.0,0.82,Yes,1403.65,434.52,7.18,0,33.0,38.0,28.999999999999996,339.78,264.66,646,2466.0,mt_836820_m1,29.6559955,58.76597579231474
1_BOES_1,Solved,1.0,0.87,Yes,1975.09,786.33,3.91,0,35.0,30.0,36.0,71.27,77.66,191,1891.0,mt_336819_m1,373.5195085,60.561848386755216
1_MIRA_1,Solved,1.0,0.86,Yes,713.28,267.5,5.04,0,33.0,28.000000000000004,38.0,99.72,75.22,206,735.0,bt_1237920_m1,19.930298,81.5468253850377
1_QUEB_1,Solved,1.0,0.89,Yes,178.03,55.76,6.22,0,38.0,27.0,35.0,40.84,21.26,65,228.0,mt_237801_m1,4.4797305,60.04642023221838
1_REDE2_1,Solved,1.0,0.81,Yes,1472.43,514.77,3.75,0,35.0,32.0,33.0,198.51,38.79,178,296.0,mt_621223_m1,111.122947,54.85444725397925
1_SE001_1,Solved,1.0,0.9,Yes,3680.96,1543.78,5.29,0,35.0,31.0,34.0,84.49,121.42,252,3826.0,mt_131081_m1,258.929858,103.53240395706904
2_PAL2_1,Solved,1.0,0.79,Yes,3118.36,1204.56,6.98,0,33.0,33.0,34.0,267.73,34.68,228,460.0,mt_230554_m1,107.379063,257.9606898472965
17_SE001_1,Solved,1.0,0.94,Yes,1316.11,546.96,2.67,0,34.0,32.0,34.0,21.03,33.41,75,1088.0,mt_1704587_m1,187.403108,66.4663139227283
18_SE001_1,Solved,1.01,0.82,Yes,7337.17,3461.99,13.39,0,33.0,33.0,34.0,441.83,229.1,701,4329.0,mt_510006_m1,149.154797,104.83162396591727
22_SE001_1,Solved,1.0,0.79,Yes,3348.72,1288.1,8.42,0,39.0,26.0,35.0,424.03,356.95,867,4762.0,bt_2709340_m1,26.460791,119.99245856065299
25_SE001_1,Solved,1.0,0.81,Yes,3793.0,1536.25,9.8,0,34.0,31.0,35.0,173.07,185.26,429,4274.0,mt_2537870_m1,68.638915,91.9251844556835
30_SE001_1,Solved,1.0,0.79,Yes,5553.04,2192.96,13.99,0,36.0,32.0,33.0,519.67,363.43,1051,4717.0,mt_334520_m1,295.580989,122.72127003067257
9718_9718_1,Solved,1.0,0.81,Yes,2366.45,830.38,7.44,0,35.0,31.0,33.0,319.19,220.81,733,1911.0,mt_3336818_m1,92.3425125,79.51314045526087
